no , model , rate
23 , Evaluation Test SSH Precision(DT): , 0.2
23 , Evaluation Test SSH Precision(Hybrid): , 0.2
23 , Evaluation Test SSH Recall(RF): , 0.88
23 , Evaluation Test SSH Recall(DT): , 1.0
23 , Evaluation Test SSH Recall(Hybrid): , 1.0
23 , Evaluation Test False Positive Rate of total detection(RF): , 0.0037942664418212477
23 , Evaluation Test False Positive Rate of total detection(DT): , 0.010539629005059023
23 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010539629005059023
23 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
24 , Random Forest Model Accuracy Rate (n=100): , 0.9963322424105632
24 , Decision Tree Model Accuracy Rate (depth=4): , 0.9663130572170184
24 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7208930519504947
24 , Test Accuracy Rate of Test DATA(RF): , 0.9427343352561284
24 , Test Accuracy Rate of Test DATA(DT): , 0.9716624848030213
24 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5540279538184295
24 , Training/Validation Dataset Total Detection Rate(RF): , 0.9954597048808173
24 , Training/Validation Dataset Total Detection Rate(DT): , 0.9825955353764662
24 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.981838819523269
24 , Training/Validation Dataset SSH Precision(RF): , 0.6875
24 , Training/Validation Dataset SSH Precision(DT): , 0.3333333333333333
24 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3235294117647059
24 , Training/Validation Dataset SSH Recall(RF): , 0.9166666666666666
24 , Training/Validation Dataset SSH Recall(DT): , 0.9166666666666666
24 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9166666666666666
24 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.0038182512409316535
24 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.016800305460099276
24 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.017563955708285606
24 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
24 , Evaluation Test Total Detection Rate(RF): , 0.9959003468937244
24 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
24 , Evaluation Test Total Detection Rate(Hybrid): , 0.9893829496478503
24 , Evaluation Test SSH Precision(RF): , 0.3793103448275862
24 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
24 , Evaluation Test SSH Precision(Hybrid): , 0.1984126984126984
24 , Evaluation Test SSH Recall(RF): , 0.88
24 , Evaluation Test SSH Recall(DT): , 1.0
24 , Evaluation Test SSH Recall(Hybrid): , 1.0
24 , Evaluation Test False Positive Rate of total detection(RF): , 0.0037942664418212477
24 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
24 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010645025295109613
24 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
25 , Random Forest Model Accuracy Rate (n=100): , 0.9964074784636798
25 , Decision Tree Model Accuracy Rate (depth=4): , 0.9673099349208141
25 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7592258210134296
25 , Test Accuracy Rate of Test DATA(RF): , 0.9520702380644438
25 , Test Accuracy Rate of Test DATA(DT): , 0.9721410279624408
25 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5487876906628039
25 , Training/Validation Dataset Total Detection Rate(RF): , 0.9966517857142857
25 , Training/Validation Dataset Total Detection Rate(DT): , 0.984375
25 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9840029761904762
25 , Training/Validation Dataset SSH Precision(RF): , 0.7241379310344828
25 , Training/Validation Dataset SSH Precision(DT): , 0.3387096774193548
25 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3333333333333333
25 , Training/Validation Dataset SSH Recall(RF): , 0.9545454545454546
25 , Training/Validation Dataset SSH Recall(DT): , 0.9545454545454546
25 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9545454545454546
25 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003000750187546887
25 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.015378844711177795
25 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.015753938484621154
25 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
25 , Evaluation Test Total Detection Rate(RF): , 0.9956901082728897
25 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
25 , Evaluation Test Total Detection Rate(Hybrid): , 0.9889624724061811
25 , Evaluation Test SSH Precision(RF): , 0.36666666666666664
25 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
25 , Evaluation Test SSH Precision(Hybrid): , 0.19230769230769232
25 , Evaluation Test SSH Recall(RF): , 0.88
25 , Evaluation Test SSH Recall(DT): , 1.0
25 , Evaluation Test SSH Recall(Hybrid): , 1.0
25 , Evaluation Test False Positive Rate of total detection(RF): , 0.004005059021922428
25 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
25 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011066610455311973
25 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
26 , Random Forest Model Accuracy Rate (n=100): , 0.9961065342512132
26 , Decision Tree Model Accuracy Rate (depth=4): , 0.9669525636685099
26 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9340744084565323
26 , Test Accuracy Rate of Test DATA(RF): , 0.9453965010303768
26 , Test Accuracy Rate of Test DATA(DT): , 0.9714189020236771
26 , Test Accuracy Rate of Test DATA(Hybrid): , 0.6105887374220751
26 , Training/Validation Dataset Total Detection Rate(RF): , 0.9973624717407686
26 , Training/Validation Dataset Total Detection Rate(DT): , 0.9917106254709872
26 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9909570459683497
26 , Training/Validation Dataset SSH Precision(RF): , 0.7777777777777778
26 , Training/Validation Dataset SSH Precision(DT): , 0.5
26 , Training/Validation Dataset SSH Precision(Hybrid): , 0.4772727272727273
26 , Training/Validation Dataset SSH Recall(RF): , 0.9545454545454546
26 , Training/Validation Dataset SSH Recall(DT): , 0.8181818181818182
26 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9545454545454546
26 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.0022796352583586625
26 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.006838905775075988
26 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.008738601823708206
26 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
26 , Evaluation Test Total Detection Rate(RF): , 0.9945337958582992
26 , Evaluation Test Total Detection Rate(DT): , 0.9941133186166299
26 , Evaluation Test Total Detection Rate(Hybrid): , 0.9907495006832755
26 , Evaluation Test SSH Precision(RF): , 0.30985915492957744
26 , Evaluation Test SSH Precision(DT): , 0.2876712328767123
26 , Evaluation Test SSH Precision(Hybrid): , 0.22123893805309736
26 , Evaluation Test SSH Recall(RF): , 0.88
26 , Evaluation Test SSH Recall(DT): , 0.84
26 , Evaluation Test SSH Recall(Hybrid): , 1.0
26 , Evaluation Test False Positive Rate of total detection(RF): , 0.00516441821247892
26 , Evaluation Test False Positive Rate of total detection(DT): , 0.0054806070826306915
26 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.00927487352445194
26 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
27 , Random Forest Model Accuracy Rate (n=100): , 0.9961441522777715
27 , Decision Tree Model Accuracy Rate (depth=4): , 0.9677801602527931
27 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7507241470112478
27 , Test Accuracy Rate of Test DATA(RF): , 0.9693689265975151
27 , Test Accuracy Rate of Test DATA(DT): , 0.9715482380127094
27 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5569940591669038
27 , Training/Validation Dataset Total Detection Rate(RF): , 0.9970014992503748
27 , Training/Validation Dataset Total Detection Rate(DT): , 0.9831334332833583
27 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9831334332833583
27 , Training/Validation Dataset SSH Precision(RF): , 0.7666666666666667
27 , Training/Validation Dataset SSH Precision(DT): , 0.34328358208955223
27 , Training/Validation Dataset SSH Precision(Hybrid): , 0.34328358208955223
27 , Training/Validation Dataset SSH Recall(RF): , 0.9583333333333334
27 , Training/Validation Dataset SSH Recall(DT): , 0.9583333333333334
27 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9583333333333334
27 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.00264750378214826
27 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.01664145234493192
27 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01664145234493192
27 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
27 , Evaluation Test Total Detection Rate(RF): , 0.9963208241353937
27 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
27 , Evaluation Test Total Detection Rate(Hybrid): , 0.9893829496478503
27 , Evaluation Test SSH Precision(RF): , 0.4074074074074074
27 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
27 , Evaluation Test SSH Precision(Hybrid): , 0.1984126984126984
27 , Evaluation Test SSH Recall(RF): , 0.88
27 , Evaluation Test SSH Recall(DT): , 1.0
27 , Evaluation Test SSH Recall(Hybrid): , 1.0
27 , Evaluation Test False Positive Rate of total detection(RF): , 0.003372681281618887
27 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
27 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010645025295109613
27 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
28 , Random Forest Model Accuracy Rate (n=100): , 0.9965391415566339
28 , Decision Tree Model Accuracy Rate (depth=4): , 0.9680434864387014
28 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7629311966294248
28 , Test Accuracy Rate of Test DATA(RF): , 0.9655233365236211
28 , Test Accuracy Rate of Test DATA(DT): , 0.9715697940108815
28 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5571578847530114
28 , Training/Validation Dataset Total Detection Rate(RF): , 0.9973494888299886
28 , Training/Validation Dataset Total Detection Rate(DT): , 0.9848542218856494
28 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9848542218856494
28 , Training/Validation Dataset SSH Precision(RF): , 0.7857142857142857
28 , Training/Validation Dataset SSH Precision(DT): , 0.36065573770491804
28 , Training/Validation Dataset SSH Precision(Hybrid): , 0.36065573770491804
28 , Training/Validation Dataset SSH Recall(RF): , 0.9565217391304348
28 , Training/Validation Dataset SSH Recall(DT): , 0.9565217391304348
28 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9565217391304348
28 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.002291825821237586
28 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.014896867838044309
28 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.014896867838044309
28 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
28 , Evaluation Test Total Detection Rate(RF): , 0.9962157048249763
28 , Evaluation Test Total Detection Rate(DT): , 0.9895931882686849
28 , Evaluation Test Total Detection Rate(Hybrid): , 0.9895931882686849
28 , Evaluation Test SSH Precision(RF): , 0.4
28 , Evaluation Test SSH Precision(DT): , 0.20161290322580644
28 , Evaluation Test SSH Precision(Hybrid): , 0.20161290322580644
28 , Evaluation Test SSH Recall(RF): , 0.88
28 , Evaluation Test SSH Recall(DT): , 1.0
28 , Evaluation Test SSH Recall(Hybrid): , 1.0
28 , Evaluation Test False Positive Rate of total detection(RF): , 0.0034780775716694774
28 , Evaluation Test False Positive Rate of total detection(DT): , 0.010434232715008433
28 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010434232715008433
28 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
29 , Random Forest Model Accuracy Rate (n=100): , 0.9965767595831923
29 , Decision Tree Model Accuracy Rate (depth=4): , 0.9670842267614641
29 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7280969040364142
29 , Test Accuracy Rate of Test DATA(RF): , 0.9655836933185028
29 , Test Accuracy Rate of Test DATA(DT): , 0.9715029704165481
29 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5416160100709624
29 , Training/Validation Dataset Total Detection Rate(RF): , 0.9973323170731707
29 , Training/Validation Dataset Total Detection Rate(DT): , 0.9805640243902439
29 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9805640243902439
29 , Training/Validation Dataset SSH Precision(RF): , 0.7586206896551724
29 , Training/Validation Dataset SSH Precision(DT): , 0.3013698630136986
29 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3013698630136986
29 , Training/Validation Dataset SSH Recall(RF): , 1.0
29 , Training/Validation Dataset SSH Recall(DT): , 1.0
29 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
29 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.002690238278247502
29 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.01960030745580323
29 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01960030745580323
29 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
29 , Evaluation Test Total Detection Rate(RF): , 0.9950593924103858
29 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
29 , Evaluation Test Total Detection Rate(Hybrid): , 0.9888573530957637
29 , Evaluation Test SSH Precision(RF): , 0.3333333333333333
29 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
29 , Evaluation Test SSH Precision(Hybrid): , 0.19083969465648856
29 , Evaluation Test SSH Recall(RF): , 0.88
29 , Evaluation Test SSH Recall(DT): , 1.0
29 , Evaluation Test SSH Recall(Hybrid): , 1.0
29 , Evaluation Test False Positive Rate of total detection(RF): , 0.00463743676222597
29 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
29 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011172006745362563
29 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
30 , Random Forest Model Accuracy Rate (n=100): , 0.9962758153707256
30 , Decision Tree Model Accuracy Rate (depth=4): , 0.9662566301771809
30 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7842418086747169
30 , Test Accuracy Rate of Test DATA(RF): , 0.9472783396707968
30 , Test Accuracy Rate of Test DATA(DT): , 0.9708045560757737
30 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5271282236995266
30 , Training/Validation Dataset Total Detection Rate(RF): , 0.9981217129977461
30 , Training/Validation Dataset Total Detection Rate(DT): , 0.9808414725770098
30 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9815927873779113
30 , Training/Validation Dataset SSH Precision(RF): , 0.8076923076923077
30 , Training/Validation Dataset SSH Precision(DT): , 0.2916666666666667
30 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3
30 , Training/Validation Dataset SSH Recall(RF): , 1.0
30 , Training/Validation Dataset SSH Recall(DT): , 1.0
30 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
30 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.001893222264293828
30 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.019310867095797046
30 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.018553578190079516
30 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
30 , Evaluation Test Total Detection Rate(RF): , 0.9940081993062125
30 , Evaluation Test Total Detection Rate(DT): , 0.9894880689582677
30 , Evaluation Test Total Detection Rate(Hybrid): , 0.9888573530957637
30 , Evaluation Test SSH Precision(RF): , 0.2894736842105263
30 , Evaluation Test SSH Precision(DT): , 0.2
30 , Evaluation Test SSH Precision(Hybrid): , 0.19083969465648856
30 , Evaluation Test SSH Recall(RF): , 0.88
30 , Evaluation Test SSH Recall(DT): , 1.0
30 , Evaluation Test SSH Recall(Hybrid): , 1.0
30 , Evaluation Test False Positive Rate of total detection(RF): , 0.005691399662731872
30 , Evaluation Test False Positive Rate of total detection(DT): , 0.010539629005059023
30 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011172006745362563
30 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
31 , Random Forest Model Accuracy Rate (n=100): , 0.9957867810254674
31 , Decision Tree Model Accuracy Rate (depth=4): , 0.967874205319189
31 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.6733250573674905
31 , Test Accuracy Rate of Test DATA(RF): , 0.9458771997896135
31 , Test Accuracy Rate of Test DATA(DT): , 0.9709640704622469
31 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5284539175871078
31 , Training/Validation Dataset Total Detection Rate(RF): , 0.9973353635325466
31 , Training/Validation Dataset Total Detection Rate(DT): , 0.9817282070803197
31 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9817282070803197
31 , Training/Validation Dataset SSH Precision(RF): , 0.7931034482758621
31 , Training/Validation Dataset SSH Precision(DT): , 0.32857142857142857
31 , Training/Validation Dataset SSH Precision(Hybrid): , 0.32857142857142857
31 , Training/Validation Dataset SSH Recall(RF): , 0.9583333333333334
31 , Training/Validation Dataset SSH Recall(DT): , 0.9583333333333334
31 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9583333333333334
31 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.002305032654629274
31 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.018056089127929314
31 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.018056089127929314
31 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
31 , Evaluation Test Total Detection Rate(RF): , 0.9942184379270472
31 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
31 , Evaluation Test Total Detection Rate(Hybrid): , 0.9888573530957637
31 , Evaluation Test SSH Precision(RF): , 0.2972972972972973
31 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
31 , Evaluation Test SSH Precision(Hybrid): , 0.19083969465648856
31 , Evaluation Test SSH Recall(RF): , 0.88
31 , Evaluation Test SSH Recall(DT): , 1.0
31 , Evaluation Test SSH Recall(Hybrid): , 1.0
31 , Evaluation Test False Positive Rate of total detection(RF): , 0.0054806070826306915
31 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
31 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011172006745362563
31 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
32 , Random Forest Model Accuracy Rate (n=100): , 0.9958996351051423
32 , Decision Tree Model Accuracy Rate (depth=4): , 0.9664259112966934
32 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9652785614866644
32 , Test Accuracy Rate of Test DATA(RF): , 0.9397552963087509
32 , Test Accuracy Rate of Test DATA(DT): , 0.9715159040154513
32 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5301158850461729
32 , Training/Validation Dataset Total Detection Rate(RF): , 0.9977349943374858
32 , Training/Validation Dataset Total Detection Rate(DT): , 0.9928274820687052
32 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9928274820687052
32 , Training/Validation Dataset SSH Precision(RF): , 0.8076923076923077
32 , Training/Validation Dataset SSH Precision(DT): , 0.5483870967741935
32 , Training/Validation Dataset SSH Precision(Hybrid): , 0.5384615384615384
32 , Training/Validation Dataset SSH Recall(RF): , 0.9545454545454546
32 , Training/Validation Dataset SSH Recall(DT): , 0.7727272727272727
32 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9545454545454546
32 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.001903311762466692
32 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.0053292729349067374
32 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.006851922344880091
32 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
32 , Evaluation Test Total Detection Rate(RF): , 0.992851886891622
32 , Evaluation Test Total Detection Rate(DT): , 0.9944286765478818
32 , Evaluation Test Total Detection Rate(Hybrid): , 0.989277830337433
32 , Evaluation Test SSH Precision(RF): , 0.25287356321839083
32 , Evaluation Test SSH Precision(DT): , 0.3
32 , Evaluation Test SSH Precision(Hybrid): , 0.1968503937007874
32 , Evaluation Test SSH Recall(RF): , 0.88
32 , Evaluation Test SSH Recall(DT): , 0.84
32 , Evaluation Test SSH Recall(Hybrid): , 1.0
32 , Evaluation Test False Positive Rate of total detection(RF): , 0.006850758853288365
32 , Evaluation Test False Positive Rate of total detection(DT): , 0.00516441821247892
32 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010750421585160203
32 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
33 , Random Forest Model Accuracy Rate (n=100): , 0.9965579505699131
33 , Decision Tree Model Accuracy Rate (depth=4): , 0.9675732611067224
33 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7862543730955874
33 , Test Accuracy Rate of Test DATA(RF): , 0.9430964760254188
33 , Test Accuracy Rate of Test DATA(DT): , 0.9717314639971718
33 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5334721539615613
33 , Training/Validation Dataset Total Detection Rate(RF): , 0.9988434849653045
33 , Training/Validation Dataset Total Detection Rate(DT): , 0.9838087895142636
33 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9841942945258288
33 , Training/Validation Dataset SSH Precision(RF): , 0.92
33 , Training/Validation Dataset SSH Precision(DT): , 0.359375
33 , Training/Validation Dataset SSH Precision(Hybrid): , 0.36507936507936506
33 , Training/Validation Dataset SSH Recall(RF): , 0.9583333333333334
33 , Training/Validation Dataset SSH Recall(DT): , 0.9583333333333334
33 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9583333333333334
33 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.0007782101167315176
33 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.015953307392996108
33 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.01556420233463035
33 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
33 , Evaluation Test Total Detection Rate(RF): , 0.9945337958582992
33 , Evaluation Test Total Detection Rate(DT): , 0.9893829496478503
33 , Evaluation Test Total Detection Rate(Hybrid): , 0.9889624724061811
33 , Evaluation Test SSH Precision(RF): , 0.30985915492957744
33 , Evaluation Test SSH Precision(DT): , 0.1984126984126984
33 , Evaluation Test SSH Precision(Hybrid): , 0.19230769230769232
33 , Evaluation Test SSH Recall(RF): , 0.88
33 , Evaluation Test SSH Recall(DT): , 1.0
33 , Evaluation Test SSH Recall(Hybrid): , 1.0
33 , Evaluation Test False Positive Rate of total detection(RF): , 0.00516441821247892
33 , Evaluation Test False Positive Rate of total detection(DT): , 0.010645025295109613
33 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011066610455311973
33 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
34 , Random Forest Model Accuracy Rate (n=100): , 0.9961065342512132
34 , Decision Tree Model Accuracy Rate (depth=4): , 0.9674039799872098
34 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7199149832599782
34 , Test Accuracy Rate of Test DATA(RF): , 0.9549134742233374
34 , Test Accuracy Rate of Test DATA(DT): , 0.9718263103891289
34 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5547177457599352
34 , Training/Validation Dataset Total Detection Rate(RF): , 0.9961656441717791
34 , Training/Validation Dataset Total Detection Rate(DT): , 0.9808282208588958
34 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9812116564417178
34 , Training/Validation Dataset SSH Precision(RF): , 0.6896551724137931
34 , Training/Validation Dataset SSH Precision(DT): , 0.29577464788732394
34 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3
34 , Training/Validation Dataset SSH Recall(RF): , 0.9523809523809523
34 , Training/Validation Dataset SSH Recall(DT): , 1.0
34 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
34 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003478933127174333
34 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.019327406262079627
34 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.018940858136838035
34 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.04761904761904767
34 , Evaluation Test Total Detection Rate(RF): , 0.9960054662041417
34 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
34 , Evaluation Test Total Detection Rate(Hybrid): , 0.9890675917165983
34 , Evaluation Test SSH Precision(RF): , 0.38596491228070173
34 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
34 , Evaluation Test SSH Precision(Hybrid): , 0.1937984496124031
34 , Evaluation Test SSH Recall(RF): , 0.88
34 , Evaluation Test SSH Recall(DT): , 1.0
34 , Evaluation Test SSH Recall(Hybrid): , 1.0
34 , Evaluation Test False Positive Rate of total detection(RF): , 0.0036888701517706576
34 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
34 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010961214165261383
34 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
35 , Random Forest Model Accuracy Rate (n=100): , 0.9958055900387466
35 , Decision Tree Model Accuracy Rate (depth=4): , 0.9670654177481849
35 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7558213896099011
35 , Test Accuracy Rate of Test DATA(RF): , 0.9559050501392518
35 , Test Accuracy Rate of Test DATA(DT): , 0.9721367167628064
35 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5486238650766962
35 , Training/Validation Dataset Total Detection Rate(RF): , 0.9962852897473997
35 , Training/Validation Dataset Total Detection Rate(DT): , 0.9799405646359584
35 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9795690936106983
35 , Training/Validation Dataset SSH Precision(RF): , 0.6875
35 , Training/Validation Dataset SSH Precision(DT): , 0.2894736842105263
35 , Training/Validation Dataset SSH Precision(Hybrid): , 0.2857142857142857
35 , Training/Validation Dataset SSH Recall(RF): , 1.0
35 , Training/Validation Dataset SSH Recall(DT): , 1.0
35 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
35 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003745318352059925
35 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.020224719101123594
35 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.020599250936329586
35 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
35 , Evaluation Test Total Detection Rate(RF): , 0.9952696310312205
35 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
35 , Evaluation Test Total Detection Rate(Hybrid): , 0.9889624724061811
35 , Evaluation Test SSH Precision(RF): , 0.34375
35 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
35 , Evaluation Test SSH Precision(Hybrid): , 0.19230769230769232
35 , Evaluation Test SSH Recall(RF): , 0.88
35 , Evaluation Test SSH Recall(DT): , 1.0
35 , Evaluation Test SSH Recall(Hybrid): , 1.0
35 , Evaluation Test False Positive Rate of total detection(RF): , 0.00442664418212479
35 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
35 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011066610455311973
35 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
36 , Random Forest Model Accuracy Rate (n=100): , 0.9962381973441673
36 , Decision Tree Model Accuracy Rate (depth=4): , 0.9660309220178309
36 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7383854343001166
36 , Test Accuracy Rate of Test DATA(RF): , 0.9510075273545617
36 , Test Accuracy Rate of Test DATA(DT): , 0.9723996999405055
