no , model , rate
3 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.0029884198729921555
3 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.016062756817332834
3 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.015315651849084797
3 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.045454545454545414
3 , Evaluation Test Total Detection Rate(RF): , 0.9959003468937244
3 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
3 , Evaluation Test Total Detection Rate(Hybrid): , 0.9890675917165983
3 , Evaluation Test SSH Precision(RF): , 0.3793103448275862
3 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
3 , Evaluation Test SSH Precision(Hybrid): , 0.1937984496124031
3 , Evaluation Test SSH Recall(RF): , 0.88
3 , Evaluation Test SSH Recall(DT): , 1.0
3 , Evaluation Test SSH Recall(Hybrid): , 1.0
3 , Evaluation Test False Positive Rate of total detection(RF): , 0.0037942664418212477
3 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
3 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010961214165261383
3 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
4 , Random Forest Model Accuracy Rate (n=100): , 0.9958808260918632
4 , Decision Tree Model Accuracy Rate (depth=4): , 0.9671970808411391
4 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.6877703795658879
4 , Test Accuracy Rate of Test DATA(RF): , 0.9475348560490442
4 , Test Accuracy Rate of Test DATA(DT): , 0.971459858420204
4 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5431658863395329
4 , Training/Validation Dataset Total Detection Rate(RF): , 0.996605054696341
4 , Training/Validation Dataset Total Detection Rate(DT): , 0.985665786495662
4 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.98491135420596
4 , Training/Validation Dataset SSH Precision(RF): , 0.7096774193548387
4 , Training/Validation Dataset SSH Precision(DT): , 0.36666666666666664
4 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3548387096774194
4 , Training/Validation Dataset SSH Recall(RF): , 1.0
4 , Training/Validation Dataset SSH Recall(DT): , 1.0
4 , Training/Validation Dataset SSH Recall(Hybrid): , 1.0
4 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.003423354887790034
