Destination,Destination Port,Label,ssh,web
192.5.41.239,80,web,,1.0
192.64.204.230,80,web,,79.0
192.64.69.25,80,web,,4.0
192.84.63.8,80,web,,5.0
192.9.49.33,80,web,,33.0
192.94.73.12,80,web,,99.0
193.114.243.70,80,web,,36.0
193.130.149.130,80,web,,18.0
193.132.24.165,80,web,,1.0
193.218.99.130,80,web,,10.0
194.112.41.50,80,web,,129.0
194.131.104.212,80,web,,37.0
194.131.104.216,80,web,,24.0
194.154.128.2,80,web,,3.0
194.163.254.145,80,web,,27.0
194.163.254.150,80,web,,6.0
194.163.254.152,80,web,,1.0
194.27.251.21,23,ssh,5.0,
194.7.248.153,23,ssh,7.0,1.0
195.115.218.108,23,ssh,7.0,
195.115.62.29,80,web,,1.0
195.67.49.101,80,web,,4.0
195.67.49.47,80,web,,11.0
195.68.29.217,80,web,,2.0
195.73.151.50,23,ssh,4.0,
195.92.176.104,80,web,,40.0
196.227.33.189,23,ssh,4.0,
196.37.75.158,23,ssh,5.0,
197.182.91.233,23,ssh,6.0,
197.218.177.69,21,ssh,19.0,2.0
197.218.177.69,23,ssh,6.0,
198.107.140.25,80,web,,2.0
198.11.57.250,80,web,,45.0
198.113.160.10,80,web,,6.0
198.113.160.132,80,web,,41.0
198.114.66.50,80,web,,2.0
198.116.116.10,80,web,,12.0
198.137.240.92,80,web,,34.0
198.151.15.15,80,web,,74.0
198.151.15.17,80,web,,1.0
198.152.185.186,80,web,,4.0
198.200.153.9,80,web,,101.0
198.253.1.23,80,web,,14.0
198.253.225.15,80,web,,7.0
198.3.101.5,80,web,,6.0
198.3.96.10,80,web,,3.0
198.3.96.160,80,web,,3.0
198.3.96.30,80,web,,17.0
198.3.98.150,80,web,,6.0
198.3.98.160,80,web,,7.0
198.3.98.225,80,web,,18.0
198.3.98.70,80,web,,1.0
198.3.98.99,80,web,1.0,22.0
198.3.99.101,80,web,,37.0
198.3.99.120,80,web,,18.0
198.3.99.130,80,web,,4.0
198.3.99.199,80,web,,2.0
198.3.99.211,80,web,,2.0
198.3.99.70,80,web,,8.0
198.49.121.85,80,web,,1.0
198.49.121.87,80,web,,25.0
198.60.134.51,80,web,,116.0
198.68.244.246,80,web,,2.0
198.68.244.52,80,web,,8.0
198.81.209.9,80,web,,81.0
198.83.178.23,80,web,,26.0
198.83.178.25,80,web,,1.0
198.93.33.75,80,web,,8.0
199.108.66.27,80,web,,1.0
199.123.85.2,80,web,,22.0
199.171.55.3,80,web,,63.0
199.172.144.23,80,web,,10.0
